               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046743,            0.074133,            0.019379,              0.7312,              0.6351,             0.71753,             0.47476,            0.039965,            0.039632,           0.0095601,              0.0865,              0.0015,              0.0015
                   1,            0.047139,            0.070139,            0.019506,             0.77054,             0.63007,             0.74321,             0.48656,            0.039689,            0.039575,           0.0080041,            0.072056,           0.0030562,           0.0030562
                   2,            0.044612,            0.064888,            0.017591,             0.78638,             0.63672,             0.74495,             0.47259,             0.04176,            0.038959,           0.0074502,            0.057567,           0.0045671,           0.0045671
                   3,            0.046369,            0.060737,            0.016965,              0.7193,             0.64612,             0.71164,             0.42566,            0.045114,            0.038736,           0.0076666,            0.043033,           0.0060327,           0.0060327
                   4,            0.048742,            0.061926,            0.015686,              0.7743,             0.67606,             0.74358,             0.45494,            0.043784,            0.037382,           0.0064838,            0.028453,           0.0074531,           0.0074531
                   5,            0.047511,            0.062203,            0.018324,             0.69269,             0.68322,             0.73144,             0.44067,            0.049811,            0.036611,           0.0064508,            0.013828,           0.0088282,           0.0088282
                   6,            0.051816,            0.053875,            0.013504,             0.61974,             0.71623,             0.69596,             0.39773,            0.053731,            0.034784,           0.0062468,           0.0091514,           0.0091514,           0.0091514
                   7,            0.049432,            0.056475,            0.012697,             0.71022,             0.69762,              0.7494,             0.44864,            0.046282,            0.036112,           0.0064751,           0.0091514,           0.0091514,           0.0091514
                   8,            0.047587,            0.055067,            0.012147,             0.72211,             0.67706,             0.73717,             0.42876,            0.045905,            0.036638,           0.0066898,             0.00901,             0.00901,             0.00901
                   9,            0.047615,            0.058556,            0.013946,             0.71169,             0.68403,             0.75401,             0.44865,            0.045233,             0.03681,           0.0064605,           0.0088686,           0.0088686,           0.0088686
                  10,            0.046234,            0.058461,            0.013546,             0.76169,             0.75324,             0.80673,             0.50407,            0.042935,            0.035061,           0.0055782,           0.0087271,           0.0087271,           0.0087271
                  11,             0.04704,            0.059213,            0.013286,              0.7548,             0.77207,               0.811,             0.51831,            0.041995,             0.03474,           0.0051242,           0.0085857,           0.0085857,           0.0085857
                  12,            0.045514,            0.056691,            0.013834,             0.77652,             0.75131,              0.8112,             0.49457,            0.043211,            0.034788,            0.005249,           0.0084443,           0.0084443,           0.0084443
                  13,            0.042884,            0.053793,            0.013398,             0.77484,             0.75123,             0.81838,              0.5089,            0.040733,            0.034247,           0.0051746,           0.0083029,           0.0083029,           0.0083029
                  14,            0.045422,            0.058244,            0.013307,             0.76849,             0.76263,             0.80832,             0.50967,            0.041986,            0.033656,           0.0049804,           0.0081614,           0.0081614,           0.0081614
                  15,            0.044859,             0.05654,            0.012654,             0.75665,             0.78269,             0.80928,             0.49719,            0.041922,            0.033191,           0.0046466,             0.00802,             0.00802,             0.00802
                  16,            0.045195,            0.059366,            0.011416,             0.76161,             0.78759,             0.82176,             0.52194,            0.040813,            0.032782,           0.0046203,           0.0078786,           0.0078786,           0.0078786
                  17,            0.043455,            0.051557,            0.011933,             0.76442,             0.79681,             0.82871,             0.53041,            0.041142,            0.032436,           0.0043916,           0.0077371,           0.0077371,           0.0077371
                  18,            0.042494,            0.050416,            0.012734,             0.80048,             0.80014,             0.84419,             0.53211,            0.040784,            0.031876,           0.0042988,           0.0075957,           0.0075957,           0.0075957
                  19,            0.046565,              0.0553,            0.012139,             0.81092,             0.74087,             0.81704,             0.51433,            0.040921,            0.032904,           0.0046369,           0.0074543,           0.0074543,           0.0074543
                  20,            0.045174,            0.052291,            0.013419,             0.75605,             0.78627,             0.83525,             0.53364,            0.039838,            0.032518,           0.0044945,           0.0073129,           0.0073129,           0.0073129
                  21,            0.042506,            0.055828,            0.014617,             0.75097,             0.78056,             0.81761,             0.50439,             0.04131,             0.03356,           0.0048924,           0.0071714,           0.0071714,           0.0071714
                  22,            0.044261,            0.054306,             0.01105,             0.82857,             0.74387,               0.848,             0.52117,            0.041042,            0.032395,           0.0045197,             0.00703,             0.00703,             0.00703
